Code,Name,Alternative code,Formulation,Alternative name,Alternative formulation,Really equivalent?
010102100AAAFAF,Calcium carbonate 680mg / Magnesium carbonate heavy 80mg chewable tablets,010102100AAAHAH,Chewable tablet,Calcium carbonate 680mg / Magnesium carbonate heavy 80mg chewable tablets sugar free,Chewable tablet,Y
010102100AAAHAH,Calcium carbonate 680mg / Magnesium carbonate heavy 80mg chewable tablets sugar free,010102100AAAFAF,Chewable tablet,Calcium carbonate 680mg / Magnesium carbonate heavy 80mg chewable tablets,Chewable tablet,Y
0101021C0AAAFAF,Calcium carbonate 500mg chewable tablets,0101021C0AAAPAP,Chewable tablet,Calcium carbonate 500mg capsules,Oral capsule,Y
0101021C0AAANAN,Calcium carbonate 300mg capsules,0101021C0AAATAT,Oral capsule,Calcium carbonate 300mg tablets,Oral tablet,Y
0101021C0AAAPAP,Calcium carbonate 500mg capsules,0101021C0AAAFAF,Oral capsule,Calcium carbonate 500mg chewable tablets,Chewable tablet,Y
0101021C0AAATAT,Calcium carbonate 300mg tablets,0101021C0AAANAN,Oral tablet,Calcium carbonate 300mg capsules,Oral capsule,Y
0101021C0AABDBD,Calcium carbonate 250mg tablets,0101021C0AACICI,Oral tablet,Calcium carbonate 250mg dispersible tablets,Dispersible tablet,Y
0101021C0AABDBD,Calcium carbonate 250mg tablets,0905011D0AAAPAP,Oral tablet,Calcium carbonate 250mg dispersible tablets sugar free,Dispersible tablet,Y
0101021C0AACICI,Calcium carbonate 250mg dispersible tablets,0101021C0AABDBD,Dispersible tablet,Calcium carbonate 250mg tablets,Oral tablet,Y
0101021C0AACICI,Calcium carbonate 250mg dispersible tablets,0905011D0AAAPAP,Dispersible tablet,Calcium carbonate 250mg dispersible tablets sugar free,Dispersible tablet,Y
0101021C0AACZCZ,Calcium carbonate 625mg capsules,0905011D0AAANAN,Oral capsule,Calcium carbonate 625mg effervescent tablets sugar free,Effervescent tablet,Y
0102000ACAAAPAP,Atropine 500micrograms/5ml oral suspension,0102000ACAABABA,Oral suspension,Atropine 500micrograms/5ml oral solution,Oral solution,Y
0102000ACAABABA,Atropine 500micrograms/5ml oral solution,0102000ACAAAPAP,Oral solution,Atropine 500micrograms/5ml oral suspension,Oral suspension,Y
0102000J0AAAAAA,Dicycloverine 10mg/5ml oral solution,0102000J0AAADAD,Oral solution,Dicycloverine 10mg/5ml oral solution sugar free,Oral solution,Y
0102000J0AAADAD,Dicycloverine 10mg/5ml oral solution sugar free,0102000J0AAAAAA,Oral solution,Dicycloverine 10mg/5ml oral solution,Oral solution,Y
0102000L0AAAAAA,Glycopyrronium bromide 2mg tablets,0102000L0AABKBK,Oral tablet,Glycopyrronium bromide 2mg capsules,Oral capsule,Y
0102000L0AAACAC,Glycopyrronium bromide 1mg tablets,0102000L0AABPBP,Oral tablet,Glycopyrronium bromide 1mg capsules,Oral capsule,Y
0102000L0AAADAD,Glycopyrronium bromide 1mg/5ml oral solution,0102000L0AABNBN,Oral solution,Glycopyrronium bromide 1mg/5ml oral solution sugar free,Oral solution,Y
0102000L0AAADAD,Glycopyrronium bromide 1mg/5ml oral suspension,0102000L0AABNBN,Oral suspension,Glycopyrronium bromide 1mg/5ml oral solution sugar free,Oral solution,Y
0102000L0AAAIAI,Glycopyrronium bromide 2mg/5ml oral solution,0102000L0AABQBQ,Oral solution,Glycopyrronium bromide 400micrograms/ml oral solution sugar free,Oral solution,Y
0102000L0AAAIAI,Glycopyrronium bromide 2mg/5ml oral suspension,0102000L0AABQBQ,Oral suspension,Glycopyrronium bromide 400micrograms/ml oral solution sugar free,Oral solution,Y
0102000L0AABBBB,Glycopyrronium bromide 2.5mg/5ml oral solution,0102000L0AABCBC,Oral solution,Glycopyrronium bromide 2.5mg/5ml oral suspension,Oral suspension,Y
0102000L0AABCBC,Glycopyrronium bromide 2.5mg/5ml oral suspension,0102000L0AABBBB,Oral suspension,Glycopyrronium bromide 2.5mg/5ml oral solution,Oral solution,Y
0102000L0AABDBD,Glycopyrronium bromide 200micrograms/5ml oral solution,0102000L0AABEBE,Oral solution,Glycopyrronium bromide 200micrograms/5ml oral suspension,Oral suspension,Y
0102000L0AABEBE,Glycopyrronium bromide 200micrograms/5ml oral suspension,0102000L0AABDBD,Oral suspension,Glycopyrronium bromide 200micrograms/5ml oral solution,Oral solution,Y
0102000L0AABFBF,Glycopyrronium bromide 5mg/5ml oral solution,0102000L0AABGBG,Oral solution,Glycopyrronium bromide 5mg/5ml oral suspension,Oral suspension,Y
0102000L0AABGBG,Glycopyrronium bromide 5mg/5ml oral suspension,0102000L0AABFBF,Oral suspension,Glycopyrronium bromide 5mg/5ml oral solution,Oral solution,Y
0102000L0AABHBH,Glycopyrronium bromide 500micrograms/5ml oral solution,0102000L0AABIBI,Oral solution,Glycopyrronium bromide 500micrograms/5ml oral suspension,Oral suspension,Y
0102000L0AABIBI,Glycopyrronium bromide 500micrograms/5ml oral suspension,0102000L0AABHBH,Oral suspension,Glycopyrronium bromide 500micrograms/5ml oral solution,Oral solution,Y
0102000L0AABKBK,Glycopyrronium bromide 2mg capsules,0102000L0AAAAAA,Oral capsule,Glycopyrronium bromide 2mg tablets,Oral tablet,Y
0102000L0AABNBN,Glycopyrronium bromide 1mg/5ml oral solution sugar free,0102000L0AAADAD,Oral solution,Glycopyrronium bromide 1mg/5ml oral solution,Oral solution,Y
0102000L0AABNBN,Glycopyrronium bromide 1mg/5ml oral solution sugar free,0102000L0AAADAD,Oral solution,Glycopyrronium bromide 1mg/5ml oral suspension,Oral suspension,Y
0102000L0AABPBP,Glycopyrronium bromide 1mg capsules,0102000L0AAACAC,Oral capsule,Glycopyrronium bromide 1mg tablets,Oral tablet,Y
0102000L0AABQBQ,Glycopyrronium bromide 400micrograms/ml oral solution sugar free,0102000L0AAAIAI,Oral solution,Glycopyrronium bromide 2mg/5ml oral solution,Oral solution,Y
0102000L0AABQBQ,Glycopyrronium bromide 400micrograms/ml oral solution sugar free,0102000L0AAAIAI,Oral solution,Glycopyrronium bromide 2mg/5ml oral suspension,Oral suspension,Y
0102000L0AABRBR,Glycopyrronium bromide 900micrograms/5ml oral suspension,0102000L0AABSBS,Oral suspension,Glycopyrronium bromide 900micrograms/5ml oral solution,Oral solution,Y
0102000L0AABSBS,Glycopyrronium bromide 900micrograms/5ml oral solution,0102000L0AABRBR,Oral solution,Glycopyrronium bromide 900micrograms/5ml oral suspension,Oral suspension,Y
0102000N0AAAHAH,Hyoscine butylbromide 20mg/5ml oral solution,0102000N0AAATAT,Oral solution,Hyoscine butylbromide 20mg/5ml oral suspension,Oral suspension,Y
0102000N0AAAPAP,Hyoscine butylbromide 10mg/5ml oral solution,0102000N0AAAQAQ,Oral solution,Hyoscine butylbromide 10mg/5ml oral suspension,Oral suspension,Y
0102000N0AAAQAQ,Hyoscine butylbromide 10mg/5ml oral suspension,0102000N0AAAPAP,Oral suspension,Hyoscine butylbromide 10mg/5ml oral solution,Oral solution,Y
0102000N0AAATAT,Hyoscine butylbromide 20mg/5ml oral suspension,0102000N0AAAHAH,Oral suspension,Hyoscine butylbromide 20mg/5ml oral solution,Oral solution,Y
0103010D0AAADAD,Cimetidine 200mg/5ml oral solution,0103010D0AAAGAG,Oral solution,Cimetidine 200mg/5ml oral suspension sugar free,Oral suspension,Y
0103010D0AAADAD,Cimetidine 200mg/5ml oral solution,0103010D0AAALAL,Oral solution,Cimetidine 200mg/5ml oral solution sugar free,Oral solution,Y
0103010D0AAAGAG,Cimetidine 200mg/5ml oral suspension sugar free,0103010D0AAADAD,Oral suspension,Cimetidine 200mg/5ml oral solution,Oral solution,Y
0103010D0AAAGAG,Cimetidine 200mg/5ml oral suspension sugar free,0103010D0AAALAL,Oral suspension,Cimetidine 200mg/5ml oral solution sugar free,Oral solution,Y
0103010D0AAALAL,Cimetidine 200mg/5ml oral solution sugar free,0103010D0AAAGAG,Oral solution,Cimetidine 200mg/5ml oral suspension sugar free,Oral suspension,Y
0103010D0AAALAL,Cimetidine 200mg/5ml oral solution sugar free,0103010D0AAADAD,Oral solution,Cimetidine 200mg/5ml oral solution,Oral solution,Y
0103010T0AABQBQ,Ranitidine 5mg/5ml oral solution,0103010T0AABRBR,Oral solution,Ranitidine 5mg/5ml oral suspension,Oral suspension,Y
0103010T0AABRBR,Ranitidine 5mg/5ml oral suspension,0103010T0AABQBQ,Oral suspension,Ranitidine 5mg/5ml oral solution,Oral solution,Y
0103030S0AAADAD,Sucralfate 1g/5ml oral suspension sugar free,0103030S0AAAEAE,Oral suspension,Sucralfate 1g/5ml oral suspension,Oral suspension,Y
0103030S0AAAEAE,Sucralfate 1g/5ml oral suspension,0103030S0AAADAD,Oral suspension,Sucralfate 1g/5ml oral suspension sugar free,Oral suspension,Y
0103050E0AAAAAA,Esomeprazole 20mg gastro-resistant tablets,0103050E0AAAFAF,Gastro-resistant tablet,Esomeprazole 20mg gastro-resistant capsules,Gastro-resistant capsule,Y
0103050E0AAABAB,Esomeprazole 40mg gastro-resistant tablets,0103050E0AAAGAG,Gastro-resistant tablet,Esomeprazole 40mg gastro-resistant capsules,Gastro-resistant capsule,Y
0103050E0AAAFAF,Esomeprazole 20mg gastro-resistant capsules,0103050E0AAAAAA,Gastro-resistant capsule,Esomeprazole 20mg gastro-resistant tablets,Gastro-resistant tablet,Y
0103050E0AAAGAG,Esomeprazole 40mg gastro-resistant capsules,0103050E0AAABAB,Gastro-resistant capsule,Esomeprazole 40mg gastro-resistant tablets,Gastro-resistant tablet,Y
0103050L0AAAAAA,Lansoprazole 30mg gastro-resistant capsules,0103050L0AAAHAH,Gastro-resistant capsule,Lansoprazole 30mg orodispersible tablets,Orodispersible tablet,Y
0103050L0AAABAB,Lansoprazole 15mg gastro-resistant capsules,0103050L0AAAGAG,Gastro-resistant capsule,Lansoprazole 15mg orodispersible tablets,Orodispersible tablet,Y
0103050L0AAAGAG,Lansoprazole 15mg orodispersible tablets,0103050L0AAABAB,Orodispersible tablet,Lansoprazole 15mg gastro-resistant capsules,Gastro-resistant capsule,Y
0103050L0AAAHAH,Lansoprazole 30mg orodispersible tablets,0103050L0AAAAAA,Orodispersible tablet,Lansoprazole 30mg gastro-resistant capsules,Gastro-resistant capsule,Y
0103050L0AAAJAJ,Lansoprazole 30mg/5ml oral solution,0103050L0AAAYAY,Oral solution,Lansoprazole 30mg/5ml oral suspension,Oral suspension,Y
0103050L0AAAMAM,Lansoprazole 15mg/5ml oral solution,0103050L0AAAXAX,Oral solution,Lansoprazole 15mg/5ml oral suspension,Oral suspension,Y
0103050L0AAAQAQ,Lansoprazole 5mg/5ml oral solution,0103050L0AAAZAZ,Oral solution,Lansoprazole 5mg/5ml oral suspension,Oral suspension,Y
0103050L0AAAXAX,Lansoprazole 15mg/5ml oral suspension,0103050L0AAAMAM,Oral suspension,Lansoprazole 15mg/5ml oral solution,Oral solution,Y
0103050L0AAAYAY,Lansoprazole 30mg/5ml oral suspension,0103050L0AAAJAJ,Oral suspension,Lansoprazole 30mg/5ml oral solution,Oral solution,Y
0103050L0AAAZAZ,Lansoprazole 5mg/5ml oral suspension,0103050L0AAAQAQ,Oral suspension,Lansoprazole 5mg/5ml oral solution,Oral solution,Y
0103050P0AAAAAA,Omeprazole 20mg gastro-resistant capsules,0103050P0AABDBD,Gastro-resistant capsule,Omeprazole 20mg gastro-resistant tablets,Gastro-resistant tablet,Y
0103050P0AAAEAE,Omeprazole 40mg gastro-resistant capsules,0103050P0AABEBE,Gastro-resistant capsule,Omeprazole 40mg gastro-resistant tablets,Gastro-resistant tablet,Y
0103050P0AAAFAF,Omeprazole 10mg gastro-resistant capsules,0103050P0AABCBC,Gastro-resistant capsule,Omeprazole 10mg gastro-resistant tablets,Gastro-resistant tablet,Y
0103050P0AAAJAJ,Omeprazole 10mg/5ml oral solution,0103050P0AABLBL,Oral solution,Omeprazole 10mg/5ml oral suspension,Oral suspension,Y
0103050P0AAAJAJ,Omeprazole 10mg/5ml oral solution,0103050P0AABUBU,Oral solution,Omeprazole 10mg/5ml oral suspension sugar free,Oral suspension,Y
0103050P0AAAKAK,Omeprazole 40mg/5ml oral solution,0103050P0AABPBP,Oral solution,Omeprazole 40mg/5ml oral suspension,Oral suspension,Y
0103050P0AAAQAQ,Omeprazole 20mg/5ml oral solution,0103050P0AABMBM,Oral solution,Omeprazole 20mg/5ml oral suspension,Oral suspension,Y
0103050P0AAAQAQ,Omeprazole 20mg/5ml oral solution,0103050P0AABVBV,Oral solution,Omeprazole 20mg/5ml oral suspension sugar free,Oral suspension,Y
0103050P0AABCBC,Omeprazole 10mg gastro-resistant tablets,0103050P0AAAFAF,Gastro-resistant tablet,Omeprazole 10mg gastro-resistant capsules,Gastro-resistant capsule,Y
0103050P0AABDBD,Omeprazole 20mg gastro-resistant tablets,0103050P0AAAAAA,Gastro-resistant tablet,Omeprazole 20mg gastro-resistant capsules,Gastro-resistant capsule,Y
0103050P0AABEBE,Omeprazole 40mg gastro-resistant tablets,0103050P0AAAEAE,Gastro-resistant tablet,Omeprazole 40mg gastro-resistant capsules,Gastro-resistant capsule,Y
0103050P0AABLBL,Omeprazole 10mg/5ml oral suspension,0103050P0AAAJAJ,Oral suspension,Omeprazole 10mg/5ml oral solution,Oral solution,Y
0103050P0AABLBL,Omeprazole 10mg/5ml oral suspension,0103050P0AABUBU,Oral suspension,Omeprazole 10mg/5ml oral suspension sugar free,Oral suspension,Y
0103050P0AABMBM,Omeprazole 20mg/5ml oral suspension,0103050P0AAAQAQ,Oral suspension,Omeprazole 20mg/5ml oral solution,Oral solution,Y
0103050P0AABMBM,Omeprazole 20mg/5ml oral suspension,0103050P0AABVBV,Oral suspension,Omeprazole 20mg/5ml oral suspension sugar free,Oral suspension,Y
0103050P0AABNBN,Omeprazole 5mg/5ml oral suspension,0103050P0AABSBS,Oral suspension,Omeprazole 5mg/5ml oral solution,Oral solution,Y
0103050P0AABNBN,Omeprazole 5mg/5ml oral suspension,0103050P0AABWBW,Oral suspension,Omeprazole 1mg/ml oral suspension sugar free,Oral suspension,Y
0103050P0AABPBP,Omeprazole 40mg/5ml oral suspension,0103050P0AAAKAK,Oral suspension,Omeprazole 40mg/5ml oral solution,Oral solution,Y
0103050P0AABSBS,Omeprazole 5mg/5ml oral solution,0103050P0AABNBN,Oral solution,Omeprazole 5mg/5ml oral suspension,Oral suspension,Y
0103050P0AABSBS,Omeprazole 5mg/5ml oral solution,0103050P0AABWBW,Oral solution,Omeprazole 1mg/ml oral suspension sugar free,Oral suspension,Y
0103050P0AABUBU,Omeprazole 10mg/5ml oral suspension sugar free,0103050P0AABLBL,Oral suspension,Omeprazole 10mg/5ml oral suspension,Oral suspension,Y
0103050P0AABUBU,Omeprazole 10mg/5ml oral suspension sugar free,0103050P0AAAJAJ,Oral suspension,Omeprazole 10mg/5ml oral solution,Oral solution,Y
0103050P0AABVBV,Omeprazole 20mg/5ml oral suspension sugar free,0103050P0AABMBM,Oral suspension,Omeprazole 20mg/5ml oral suspension,Oral suspension,Y
0103050P0AABVBV,Omeprazole 20mg/5ml oral suspension sugar free,0103050P0AAAQAQ,Oral suspension,Omeprazole 20mg/5ml oral solution,Oral solution,Y
0103050P0AABWBW,Omeprazole 1mg/ml oral suspension sugar free,0103050P0AABNBN,Oral suspension,Omeprazole 5mg/5ml oral suspension,Oral suspension,Y
0103050P0AABWBW,Omeprazole 1mg/ml oral suspension sugar free,0103050P0AABSBS,Oral suspension,Omeprazole 5mg/5ml oral solution,Oral solution,Y
0104020L0AAAAAA,Loperamide 2mg capsules,0104020L0AAADAD,Oral capsule,Loperamide 2mg tablets,Oral tablet,Y
0104020L0AAAAAA,Loperamide 2mg capsules,0104020L0AAARAR,Oral capsule,Loperamide 2mg orodispersible tablets sugar free,Orodispersible tablet,Y
0104020L0AAAAAA,Loperamide 2mg capsules,0104020L0AAATAT,Oral capsule,Loperamide 2mg oral lyophilisates sugar free,Oral lyophilisate,Y
0104020L0AAADAD,Loperamide 2mg tablets,0104020L0AAAAAA,Oral tablet,Loperamide 2mg capsules,Oral capsule,Y
0104020L0AAADAD,Loperamide 2mg tablets,0104020L0AAARAR,Oral tablet,Loperamide 2mg orodispersible tablets sugar free,Orodispersible tablet,Y
0104020L0AAADAD,Loperamide 2mg tablets,0104020L0AAATAT,Oral tablet,Loperamide 2mg oral lyophilisates sugar free,Oral lyophilisate,Y
0104020L0AAAPAP,Loperamide 25mg/5ml oral suspension,0104020L0AAAQAQ,Oral suspension,Loperamide 25mg/5ml oral solution,Oral solution,Y
0104020L0AAAQAQ,Loperamide 25mg/5ml oral solution,0104020L0AAAPAP,Oral solution,Loperamide 25mg/5ml oral suspension,Oral suspension,Y
0104020L0AAARAR,Loperamide 2mg orodispersible tablets sugar free,0104020L0AAAAAA,Orodispersible tablet,Loperamide 2mg capsules,Oral capsule,Y
0104020L0AAARAR,Loperamide 2mg orodispersible tablets sugar free,0104020L0AAADAD,Orodispersible tablet,Loperamide 2mg tablets,Oral tablet,Y
0104020L0AAARAR,Loperamide 2mg orodispersible tablets sugar free,0104020L0AAATAT,Orodispersible tablet,Loperamide 2mg oral lyophilisates sugar free,Oral lyophilisate,Y
0104020L0AAATAT,Loperamide 2mg oral lyophilisates sugar free,0104020L0AAAAAA,Oral lyophilisate,Loperamide 2mg capsules,Oral capsule,Y
0104020L0AAATAT,Loperamide 2mg oral lyophilisates sugar free,0104020L0AAADAD,Oral lyophilisate,Loperamide 2mg tablets,Oral tablet,Y
0104020L0AAATAT,Loperamide 2mg oral lyophilisates sugar free,0104020L0AAARAR,Oral lyophilisate,Loperamide 2mg orodispersible tablets sugar free,Orodispersible tablet,Y
0105010B0AAAIAI,Mesalazine 500mg modified-release tablets,0105010B0AAAPAP,Modified-release tablet,Mesalazine 500mg gastro-resistant modified-release granules sachets sugar free,Modified-release granules,Y
0105010B0AAANAN,Mesalazine 1g modified-release granules sachets sugar free,0105010B0AAAXAX,Modified-release granules,Mesalazine 1g gastro-resistant modified-release granules sachets sugar free,Modified-release granules,Y
0105010B0AAANAN,Mesalazine 1g modified-release granules sachets sugar free,0105010B0AAAYAY,Modified-release granules,Mesalazine 1g modified-release tablets,Modified-release tablet,Y
0105010B0AAAPAP,Mesalazine 500mg gastro-resistant modified-release granules sachets sugar free,0105010B0AAAIAI,Modified-release granules,Mesalazine 500mg modified-release tablets,Modified-release tablet,Y
0105010B0AAAXAX,Mesalazine 1g gastro-resistant modified-release granules sachets sugar free,0105010B0AAANAN,Modified-release granules,Mesalazine 1g modified-release granules sachets sugar free,Modified-release granules,Y
0105010B0AAAXAX,Mesalazine 1g gastro-resistant modified-release granules sachets sugar free,0105010B0AAAYAY,Modified-release granules,Mesalazine 1g modified-release tablets,Modified-release tablet,Y
0105010B0AAAYAY,Mesalazine 1g modified-release tablets,0105010B0AAANAN,Modified-release tablet,Mesalazine 1g modified-release granules sachets sugar free,Modified-release granules,Y
0105010B0AAAYAY,Mesalazine 1g modified-release tablets,0105010B0AAAXAX,Modified-release tablet,Mesalazine 1g gastro-resistant modified-release granules sachets sugar free,Modified-release granules,Y
0105010E0AAAAAA,Sulfasalazine 500mg tablets,0105010E0AAABAB,Oral tablet,Sulfasalazine 500mg gastro-resistant tablets,Gastro-resistant tablet,Y
0105010E0AAABAB,Sulfasalazine 500mg gastro-resistant tablets,0105010E0AAAAAA,Gastro-resistant tablet,Sulfasalazine 500mg tablets,Oral tablet,Y
0105010E0AAAEAE,Sulfasalazine 250mg/5ml oral suspension,0105010E0AAAPAP,Oral suspension,Sulfasalazine 250mg/5ml oral suspension sugar free,Oral suspension,Y
0105010E0AAAPAP,Sulfasalazine 250mg/5ml oral suspension sugar free,0105010E0AAAEAE,Oral suspension,Sulfasalazine 250mg/5ml oral suspension,Oral suspension,Y
0105030A0AAABAB,Vedolizumab 108mg/0.68ml solution for injection pre-filled syringes,0105030A0AAACAC,Solution for injection,Vedolizumab 108mg/0.68ml solution for injection pre-filled disposable devices,Solution for injection,Y
0105030A0AAACAC,Vedolizumab 108mg/0.68ml solution for injection pre-filled disposable devices,0105030A0AAABAB,Solution for injection,Vedolizumab 108mg/0.68ml solution for injection pre-filled syringes,Solution for injection,Y
0105040A0AAABAB,Sodium cromoglicate 100mg/5ml oral solution,0105040A0AAACAC,Oral solution,Sodium cromoglicate 100mg/5ml oral solution 5ml unit dose ampoules sugar free,Oral solution,Y
0105040A0AAACAC,Sodium cromoglicate 100mg/5ml oral solution 5ml unit dose ampoules sugar free,0105040A0AAABAB,Oral solution,Sodium cromoglicate 100mg/5ml oral solution,Oral solution,Y
0106010E0AAADAD,Ispaghula husk 3.5g effervescent granules sachets gluten free sugar free,0106010E0AAAUAU,Effervescent granules,Ispaghula husk 3.5g granules for oral suspension sachets gluten free sugar free,Granules for oral suspension,Y
0106010E0AAADAD,Ispaghula husk 3.5g effervescent granules sachets gluten free sugar free,0106010E0AAATAT,Effervescent granules,Ispaghula husk 3.5g granules for oral suspension sachets gluten free,Granules for oral suspension,Y
0106010E0AAATAT,Ispaghula husk 3.5g granules for oral suspension sachets gluten free,0106010E0AAADAD,Granules for oral suspension,Ispaghula husk 3.5g effervescent granules sachets gluten free sugar free,Effervescent granules,Y
0106010E0AAATAT,Ispaghula husk 3.5g granules for oral suspension sachets gluten free,0106010E0AAAUAU,Granules for oral suspension,Ispaghula husk 3.5g granules for oral suspension sachets gluten free sugar free,Granules for oral suspension,Y
0106010E0AAAUAU,Ispaghula husk 3.5g granules for oral suspension sachets gluten free sugar free,0106010E0AAADAD,Granules for oral suspension,Ispaghula husk 3.5g effervescent granules sachets gluten free sugar free,Effervescent granules,Y
0106010E0AAAUAU,Ispaghula husk 3.5g granules for oral suspension sachets gluten free sugar free,0106010E0AAATAT,Granules for oral suspension,Ispaghula husk 3.5g granules for oral suspension sachets gluten free,Granules for oral suspension,Y
0106040M0AAAAAA,Macrogol compound oral powder sachets NPF sugar free,0106040M0AAABAB,Powder for oral solution,Macrogol compound half-strength oral powder sachets NPF sugar free,Powder for oral solution,Y
0106040M0AAAAAA,Macrogol compound oral powder sachets NPF sugar free,0106040M0AAAHAH,Powder for oral solution,Macrogol compound oral liquid NPF sugar free,Oral solution,Y
0106040M0AAABAB,Macrogol compound half-strength oral powder sachets NPF sugar free,0106040M0AAAAAA,Powder for oral solution,Macrogol compound oral powder sachets NPF sugar free,Powder for oral solution,Y
0106040M0AAABAB,Macrogol compound half-strength oral powder sachets NPF sugar free,0106040M0AAAHAH,Powder for oral solution,Macrogol compound oral liquid NPF sugar free,Oral solution,Y
0106040M0AAAHAH,Macrogol compound oral liquid NPF sugar free,0106040M0AAAAAA,Oral solution,Macrogol compound oral powder sachets NPF sugar free,Powder for oral solution,Y
0106040M0AAAHAH,Macrogol compound oral liquid NPF sugar free,0106040M0AAABAB,Oral solution,Macrogol compound half-strength oral powder sachets NPF sugar free,Powder for oral solution,Y
0106040N0AAAAAA,Phosphates enema (Formula B) 128ml long tube,0106040N0AAABAB,Enema,Phosphates enema (Formula B) 128ml standard tube,Enema,Y
0106040N0AAABAB,Phosphates enema (Formula B) 128ml standard tube,0106040N0AAAAAA,Enema,Phosphates enema (Formula B) 128ml long tube,Enema,Y
0107010N0AAAHAH,Zinc oxide 6.6% / Lidocaine 0.7% ointment,0107010N0AAAJAJ,Rectal ointment,Zinc oxide 6.6% / Lidocaine 0.7% rectal cream,Rectal cream,Y
0107010N0AAAJAJ,Zinc oxide 6.6% / Lidocaine 0.7% rectal cream,0107010N0AAAHAH,Rectal cream,Zinc oxide 6.6% / Lidocaine 0.7% ointment,Rectal ointment,Y
0109010G0AAABAB,Chenodeoxycholic acid 250mg capsules,0109010G0AAACAC,Oral capsule,Chenodeoxycholic acid 250mg tablets,Oral tablet,Y
0109010G0AAACAC,Chenodeoxycholic acid 250mg tablets,0109010G0AAABAB,Oral tablet,Chenodeoxycholic acid 250mg capsules,Oral capsule,Y
0109010U0AAABAB,Ursodeoxycholic acid 250mg capsules,0109010U0AABLBL,Oral capsule,Ursodeoxycholic acid 250mg tablets,Oral tablet,Y
0109010U0AAAJAJ,Ursodeoxycholic acid 250mg/5ml oral suspension,0109010U0AABEBE,Oral suspension,Ursodeoxycholic acid 250mg/5ml oral suspension sugar free,Oral suspension,Y
0109010U0AAAJAJ,Ursodeoxycholic acid 250mg/5ml oral solution,0109010U0AABEBE,Oral solution,Ursodeoxycholic acid 250mg/5ml oral suspension sugar free,Oral suspension,Y
0109010U0AABEBE,Ursodeoxycholic acid 250mg/5ml oral suspension sugar free,0109010U0AAAJAJ,Oral suspension,Ursodeoxycholic acid 250mg/5ml oral suspension,Oral suspension,Y
