BNF Code,BNF Name,ADQ Value,ADQ Unit
0101021B0BEABAG,Gaviscon_Tab Chble 500mg (Peppermint),N/A,N/A
0101021B0BEACAH,Gaviscon_Liq Orig Aniseed Relief,N/A,N/A
0101021B0BEADAJ,Gaviscon Infant_Sach 2g (Dual Pack) S/F,N/A,N/A
0101021B0BEAFAH,Gaviscon_Liq Relief Peppermint,N/A,N/A
0101021B0BEAIAL,Gaviscon Advance_Liq (Aniseed) (Reckitt),N/A,N/A
0101021B0BEAJAM,Gaviscon_Liq Sach 10ml (Peppermint) S/F,N/A,N/A
0101021B0BEAMA0,Gaviscon Ex Strgh_Tab Chble 500mg(P/Mint,N/A,N/A
0101021B0BEANAH,Gaviscon Cool_Liq (Peppermint) S/F,N/A,N/A
0101021B0BEAPA0,Gaviscon Cool_Tab Chble 250mg (P/Mint),N/A,N/A
0101021B0BEAQAP,Gaviscon Advance_Tab Chble Mint(Reckitt),N/A,N/A
0101021B0BEARA0,Gaviscon Double Action_Tab Chble,N/A,N/A
0101021B0BEASA0,Gaviscon Double Action_Liq (Peppermint),N/A,N/A
0101021B0BEAUA0,Gaviscon P/Mint_Tab Chble,N/A,N/A
0101021B0BEAVA0,Gaviscon Double Action_Liq (Aniseed),N/A,N/A
0101021B0BEAWA0,Gaviscon Sbery_Tab Chble,N/A,N/A
0101021B0BEAXA0,Gaviscon Instants_Sach (Trop Fruit Flav),N/A,N/A
0101021B0BEBDA0,Gaviscon Double Action_Liq Sach 10ml,N/A,N/A
0101021B0BEBEAL,Gaviscon Advance_Liq (Peppermint) S/F,N/A,N/A
0101021B0BFAAAF,Topal_Antacid Tab,N/A,N/A
0101021B0BIAAAH,Peptac_Liq (Aniseed) S/F,N/A,N/A
0101021B0BIABAH,Peptac_Liq (Peppermint) S/F,N/A,N/A
0101021B0BQAAAH,Acidex_Liq (Aniseed),N/A,N/A
0101021B0BQABAH,Acidex_Liq (Peppermint),N/A,N/A
0101021C0AAAFAF,Calc Carb_Tab Chble 500mg,N/A,N/A
0101021C0AAAPAP,Calc Carb_Cap 500mg,N/A,N/A
0101021C0AAATAT,Calc Carb_Tab 300mg,N/A,N/A
0101021C0AABQBQ,Calc Carb_Cap 400mg,N/A,N/A
0101021C0AABXBX,Calc Carb_Tab Chble 800mg,N/A,N/A
0101021C0AACECE,Calc Carb_Liq Spec 250mg/5ml,N/A,N/A
0101021C0AACICI,Calc Carb_Disper Tab 250mg,N/A,N/A
0101021C0AACWCW,Calc Carb_Liq Spec 120mg/5ml,N/A,N/A
0101021C0AACXCX,Calc Carb_Oral Susp 600mg/5ml,N/A,N/A
0101021C0AACYCY,Calc Carb_Oral Susp 500mg/5ml,N/A,N/A
0101021C0BBAAAF,Tums_Assorted Fruit Antacid Tab,N/A,N/A
0101021C0BIABAF,Rennie_Orange Tab Chble 500mg,N/A,N/A
0101021C0BJABAF,Setlers_Antacid P/Mint Tab Chble 500mg,N/A,N/A
0102000A0AAAAAA,Alverine Cit_Cap 60mg,180,MG
0102000A0AAABAB,Alverine Cit_Cap 120mg,180,MG
0102000A0BBAAAA,Spasmonal_Cap 60mg,180,MG
0102000A0BBABAB,Spasmonal Fte_Cap 120mg,180,MG
0102000A0BDAAAA,Audmonal_Cap 60mg,180,MG
0102000A0BDABAB,Audmonal_Forte Cap 120mg,180,MG
0102000ACAAAGAG,Atrop Sulf_Tab 600mcg,1200,MCG
0102000ACAAAPAP,Atrop Sulf_Oral Susp 500mcg/5ml,1200,MCG
0102000ACAAAZAZ,Atrop Sulf_Liq Spec 250mcg/5ml,1200,MCG
0102000D0BCAAAF,A & P_Infants Pdrs,N/A,N/A
0102000J0AAAAAA,Dicycloverine HCl_Oral Soln 10mg/5ml,30,MG
0102000J0AAABAB,Dicycloverine HCl_Tab 10mg,30,MG
0102000J0AAACAC,Dicycloverine HCl_Tab 20mg,30,MG
0102000J0BBAAAB,Merbentyl_Tab 10mg,30,MG
0102000J0BBABAA,Merbentyl_Syr 10mg/5ml,30,MG
0102000K0AAAAAA,Gppe Gel_Kolanticon S/F,40,ML
0102000K0BBAAAA,Kolanticon_Gel S/F,40,ML
0102000L0AAAAAA,Glycopyrronium Brom_Tab 2mg,N/A,N/A
0102000L0AAACAC,Glycopyrronium Brom_Tab 1mg,N/A,N/A
0102000L0AAAFAF,Glycopyrronium Brom_Liq Spec 750mcg/5ml,N/A,N/A
0102000L0AAAGAG,Glycopyrronium Brom_Liq Spec 600mcg/5ml,N/A,N/A
0102000L0AAAHAH,Glycopyrronium Brom_Liq Spec 3mg/5ml,N/A,N/A
0102000L0AAALAL,Glycopyrronium Brom_Liq Spec 1.25mg/5ml,N/A,N/A
0102000L0AAANAN,Glycopyrronium Brom_Liq Spec 400mcg/5ml,N/A,N/A
0102000L0AAAVAV,Glycopyrronium Brom_Liq Spec 4mg/5ml,N/A,N/A
0102000L0AAAWAW,Glycopyrronium Brom_Oral Soln 1mg/5ml,N/A,N/A
0102000L0AAAXAX,Glycopyrronium Brom_Oral Susp 1mg/5ml,N/A,N/A
0102000L0AAAZAZ,Glycopyrronium Brom_Oral Soln 2mg/5ml,N/A,N/A
0102000L0AABABA,Glycopyrronium Brom_Oral Susp 2mg/5ml,N/A,N/A
0102000L0AABBBB,Glycopyrronium Brom_Oral Soln 2.5mg/5ml,N/A,N/A
0102000L0AABCBC,Glycopyrronium Brom_Oral Susp 2.5mg/5ml,N/A,N/A
0102000L0AABDBD,Glycopyrronium Brom_Oral Soln 200mcg/5ml,N/A,N/A
0102000L0AABEBE,Glycopyrronium Brom_Oral Susp 200mcg/5ml,N/A,N/A
0102000L0AABFBF,Glycopyrronium Brom_Oral Soln 5mg/5ml,N/A,N/A
0102000L0AABGBG,Glycopyrronium Brom_Oral Susp 5mg/5ml,N/A,N/A
0102000L0AABHBH,Glycopyrronium Brom_Oral Soln 500mcg/5ml,N/A,N/A
0102000L0AABIBI,Glycopyrronium Brom_Oral Susp 500mcg/5ml,N/A,N/A
0102000L0AABJBJ,Glycopyrronium Brom_Liq Spec 1.3mg/5ml,N/A,N/A
0102000L0AABKBK,Glycopyrronium Brom_Cap 2mg,N/A,N/A
0102000L0BBACAC,Robinul_Tab 1mg (Import),N/A,N/A
0102000N0AAAAAA,Hyoscine Butylbrom_Inj 20mg/ml 1ml Amp,80,MG
0102000N0AAABAB,Hyoscine Butylbrom_Tab 10mg,80,MG
0102000N0AAAPAP,Hyoscine Butylbrom_Oral Soln 10mg/5ml,N/A,N/A
0102000N0AAAQAQ,Hyoscine Butylbrom_Oral Susp 10mg/5ml,N/A,N/A
0102000N0BBAAAB,Buscopan_Tab 10mg,80,MG
0102000N0BBABAA,Buscopan_Inj 20mg/ml 1ml Amp,80,MG
0102000N0BBACAB,Buscopan IBS Relief_Tab 10mg,80,MG
0102000N0BBADAB,Buscopan Cramps_Tab 10mg,80,MG
0102000P0AAAAAA,Mebeverine HCl_Oral Susp 50mg/5ml S/F,405,MG
0102000P0AAABAB,Mebeverine HCl_Tab 135mg,405,MG
0102000P0AAADAD,Mebeverine HCl_Cap 200mg M/R,405,MG
0102000P0BCABAB,Colofac_Tab 135mg,405,MG
0102000P0BCACAB,Colofac IBS_Tab 135mg,405,MG
0102000P0BCAEAD,Colofac MR_Cap 200mg,405,MG
0102000T0AAAAAA,Peppermint Oil_Cap E/C 0.2ml,0.6,ML
0102000T0AAABAB,Peppermint_Oil Liq,0.6,ML
0102000T0AAAFAF,Peppermint Oil_Cap E/C 0.2ml M/R,0.6,ML
0102000T0BBAAAF,Colpermin_Cap E/C 0.2ml M/R,0.6,ML
0102000T0BCAAAA,Mintec_Cap E/C 0.2ml,0.6,ML
0102000T0BIAAAA,Apercap_Cap E/C 0.2ml,0.6,ML
0102000X0AAAAAA,Ispag/Mebeverine_Gran Eff 3.5g/135mg S/F,2,
0102000X0BCAAAA,Fybogel Mebeverine_Eff Gran Sach S/F,2,
0102000Y0AAAFAF,Propantheline Brom_Tab 15mg,45,MG
0102000Y0AAAIAI,Propantheline Brom_Liq Spec 15mg/5ml,45,MG
0102000Y0BBAAAF,Pro-Banthine_Tab 15mg,45,MG
010300000AAAAAA,Urea (13-C)_Breath Test Kit Pdr 75mg,N/A,N/A
010300000AAABAB,Gppe Breath Test Kit_Pylobactell,N/A,N/A
010300000AAADAD,Gppe Breath Test Kit_diabact UBT,N/A,N/A
010300000AAAEAE,Urea (13-C)_Breath Test Kit Pdr 45mg,N/A,N/A
010300000BBAAAA,Helicobacter Test INFAI_Pdr 75mg,N/A,N/A
010300000BBABAB,Pylobactell_Tab Solb 100mg,N/A,N/A
010300000BBADAD,diabact UBT_Helicobacter Test Tab 50mg,N/A,N/A
0103010D0AAAAAA,Cimetidine_Tab 200mg,800,MG
0103010D0AAABAB,Cimetidine_Tab 400mg,800,MG
0103010D0AAACAC,Cimetidine_Tab 800mg,800,MG
0103010D0AAADAD,Cimetidine_Oral Soln 200mg/5ml,800,MG
0103010D0AAALAL,Cimetidine_Oral Soln 200mg/5ml S/F,800,MG
0103010D0BBAAAA,Tagamet_Tab 200mg,800,MG
0103010D0BBABAB,Tagamet_Tab 400mg,800,MG
0103010D0BBACAC,Tagamet_Tab 800mg,800,MG
0103010D0BBADAD,Tagamet_Syr 200mg/5ml,800,MG
0103010H0AAAAAA,Famotidine_Tab 20mg,40,MG
0103010H0AAABAB,Famotidine_Tab 40mg,40,MG
0103010N0AAAAAA,Nizatidine_Cap 150mg,300,MG
0103010N0AAABAB,Nizatidine_Cap 300mg,300,MG
0103010T0AAAAAA,Ranitidine HCl_Tab 150mg,300,MG
0103010T0AAACAC,Ranitidine HCl_Tab 300mg,300,MG
0103010T0AAADAD,Ranitidine HCl_Inj 25mg/ml 2ml Amp,N/A,N/A
0103010T0AAAEAE,Ranitidine HCl_Oral Soln 75mg/5ml S/F,300,MG
0103010T0AAAIAI,Ranitidine HCl_Tab Eff 150mg,300,MG
0103010T0AAAJAJ,Ranitidine HCl_Tab Eff 300mg,300,MG
0103010T0AAAPAP,Ranitidine HCl_Tab 75mg,300,MG
0103010T0AAARAR,Ranitidine HCl_Liq Spec 4mg/5ml,300,MG
0103010T0AAASAS,Ranitidine HCl_Liq Spec 50mg/5ml,300,MG
0103010T0AABABA,Ranitidine HCl_Liq Spec 75mg/5ml,300,MG
0103010T0AABKBK,Ranitidine HCl_Tab Eff 75mg,300,MG
0103010T0AABQBQ,Ranitidine HCl_Oral Soln 5mg/5ml,300,MG
0103010T0AABRBR,Ranitidine HCl_Oral Susp 5mg/5ml,300,MG
0103010T0BBAAAA,Zantac_Tab 150mg,300,MG
0103010T0BBACAC,Zantac_Tab 300mg,300,MG
0103010T0BBADAD,Zantac_Inj Im/Iv 25mg/ml 2ml Amp,N/A,N/A
0103010T0BBAEAE,Zantac_Syr 150mg/10ml S/F,300,MG
0103010T0BBAHAP,Zantac 75_Tab 75mg,300,MG
0103010T0BBAIAP,Zantac 75 Relief_Tab 75mg,300,MG
0103010T0BJAAAA,Ranitil_Tab 150mg,300,MG
0103010T0BJABAC,Ranitil_Tab 300mg,300,MG
0103010T0BUAAAP,Gavilast_Tab 75mg,300,MG
0103010T0BVAAAP,Nucare_Ranitidine Tab 75mg,300,MG
0103010T0BWAAAP,Ranicalm_Tab 75mg,300,MG
0103020P0AAAAAA,Pirenzepine_Tab 50mg,100,MG
0103020P0AAABAB,Pirenzepine_Tab 25mg,100,MG
0103030S0AAAAAA,Sucralfate_Tab 1g,4,Gramme
0103030S0AAABAB,Sucralfate_Susp 1g/5ml S/F,4,Gramme
0103030S0BBAAAA,Antepsin_Tab 1g,4,Gramme
0103030S0BBABAB,Antepsin_Susp 1g/5ml,4,Gramme
0103030S0BCAAAA,Sulcrate_Tab 1g,4,Gramme
0103030W0AAAAAA,Tripot Dicitratobismuthate_Tab 120mg,480,MG
0103030W0BBAAAA,De-Noltab_Tab 120mg,480,MG
0103040M0AAAAAA,Misoprostol_Tab 200mcg,800,MCG
0103040M0BBAAAA,Cytotec_Tab 200mcg,800,MCG
0103050E0AAAAAA,Esomeprazole_Tab E/C 20mg,20,MG
0103050E0AAABAB,Esomeprazole_Tab E/C 40mg,20,MG
0103050E0AAACAC,Esomeprazole_I/V Inf 40mg Vl (Dry),N/A,N/A
0103050E0AAAEAE,Esomeprazole_Gran Sach G/R 10mg,30,MG
0103050E0AAAFAF,Esomeprazole_Cap E/C 20mg,20,MG
0103050E0AAAGAG,Esomeprazole_Cap E/C 40mg,20,MG
0103050E0BBAAAA,Nexium_Tab 20mg,20,MG
0103050E0BBABAB,Nexium_Tab 40mg,20,MG
0103050E0BBADAE,Nexium_Gran Sach G/R 10mg,30,MG
0103050E0BBAGAA,Nexium Control_Tab 20mg,20,MG
0103050E0BCAAAF,Emozul_Cap E/C 20mg,20,MG
0103050E0BCABAG,Emozul_Cap E/C 40mg,20,MG
0103050L0AAAAAA,Lansoprazole_Cap 30mg (E/C Gran),20,MG
0103050L0AAABAB,Lansoprazole_Cap 15mg (E/C Gran),20,MG
0103050L0AAAGAG,Lansoprazole_Orodisper Tab 15mg,20,MG
0103050L0AAAHAH,Lansoprazole_Orodisper Tab 30mg,20,MG
0103050L0AAAIAI,Lansoprazole_Liq Spec 10mg/5ml,20,MG
0103050L0AAAJAJ,Lansoprazole_Oral Soln 30mg/5ml,20,MG
0103050L0AAAMAM,Lansoprazole_Oral Soln 15mg/5ml,20,MG
0103050L0AAANAN,Lansoprazole_Liq Spec 7.5mg/5ml,20,MG
0103050L0AAAPAP,Lansoprazole_Liq Spec 4mg/5ml,20,MG
0103050L0AAAWAW,Lansoprazole_Oral Susp 50mg/5ml,20,MG
0103050L0AAAXAX,Lansoprazole_Oral Susp 15mg/5ml,20,MG
0103050L0AAAYAY,Lansoprazole_Oral Susp 30mg/5ml,20,MG
0103050L0AAAZAZ,Lansoprazole_Oral Susp 5mg/5ml,20,MG
0103050L0BBADAG,Zoton_FasTab Tab 15mg,20,MG
0103050L0BBAEAH,Zoton_FasTab Tab 30mg,20,MG
0103050P0AAAAAA,Omeprazole_Cap E/C 20mg,20,MG
0103050P0AAAEAE,Omeprazole_Cap E/C 40mg,20,MG
0103050P0AAAFAF,Omeprazole_Cap E/C 10mg,20,MG
0103050P0AAAJAJ,Omeprazole_Oral Soln 10mg/5ml,20,MG
0103050P0AAAKAK,Omeprazole_Oral Soln 40mg/5ml,20,MG
0103050P0AAALAL,Omeprazole_Liq Spec 2.5mg/5ml,20,MG
0103050P0AAAMAM,Omeprazole_Tab Disper 10mg (E/C Pellets),20,MG
0103050P0AAANAN,Omeprazole_Tab Disper 20mg (E/C Pellets),20,MG
0103050P0AAAPAP,Omeprazole_Tab Disper 40mg (E/C Pellets),20,MG
0103050P0AAAQAQ,Omeprazole_Oral Soln 20mg/5ml,20,MG
0103050P0AAASAS,Omeprazole_Liq Spec 4mg/5ml,20,MG
0103050P0AAAVAV,Omeprazole_Inf 40mg Vl,N/A,N/A
0103050P0AAAWAW,Omeprazole_Liq Spec 50mg/5ml,20,MG
0103050P0AABABA,Omeprazole_Liq Spec 2mg/5ml,20,MG
0103050P0AABCBC,Omeprazole_Tab E/C 10mg,20,MG
0103050P0AABDBD,Omeprazole_Tab E/C 20mg,20,MG
0103050P0AABEBE,Omeprazole_Tab E/C 40mg,20,MG
0103050P0AABFBF,Omeprazole_Liq Spec 3mg/5ml,20,MG
0103050P0AABGBG,Omeprazole_I/V Inj Pdr 40mg Vl + Dil,N/A,N/A
0103050P0AABHBH,Omeprazole_Liq Spec 15mg/5ml,20,MG
0103050P0AABLBL,Omeprazole_Oral Susp 10mg/5ml,20,MG
0103050P0AABMBM,Omeprazole_Oral Susp 20mg/5ml,20,MG
0103050P0AABNBN,Omeprazole_Oral Susp 5mg/5ml,20,MG
0103050P0AABPBP,Omeprazole_Oral Susp 40mg/5ml,20,MG
0103050P0BBAAAA,Losec_Cap E/C 20mg,20,MG
0103050P0BBABAE,Losec_Cap E/C 40mg,20,MG
0103050P0BBACAF,Losec_Cap E/C 10mg,20,MG
0103050P0BBADAM,Losec MUPS_Tab Disper 10mg (E/C Pellets),20,MG
0103050P0BBAEAN,Losec MUPS_Tab Disper 20mg (E/C Pellets),20,MG
0103050P0BBAFAP,Losec MUPS_Tab Disper 40mg (E/C Pellets),20,MG
0103050P0BBAGAV,Losec_Inf 40mg Vl,N/A,N/A
0103050P0BDABBD,Omeran_Tab G/R 20mg,20,MG
0103050P0BFAAAF,Mepradec_Cap E/C 10mg,20,MG
0103050P0BFABAA,Mepradec_Cap E/C 20mg,20,MG
0103050P0BGAAAM,Mezzopram_Tab Disper 10mg (E/C Pellets),20,MG
0103050P0BGABAN,Mezzopram_Tab Disper 20mg (E/C Pellets),20,MG
0103050P0BGACAP,Mezzopram_Tab Disper 40mg (E/C Pellets),20,MG
0103050R0AAAAAA,Pantoprazole_Tab E/C 40mg,30,MG
0103050R0AAABAB,Pantoprazole_Tab E/C 20mg,30,MG
0103050R0AAACAC,Pantoprazole_Inj 40mg Vl,N/A,N/A
0103050R0BBAAAA,Protium_Tab E/C 40mg,30,MG
0103050R0BBABAB,Protium_Tab E/C 20mg,30,MG
0103050R0BCAAAB,Pantoloc Control_Tab E/C 20mg,30,MG
0103050T0AAAAAA,Rabeprazole Sod_Tab E/C 10mg,15,MG
0103050T0AAABAB,Rabeprazole Sod_Tab E/C 20mg,15,MG
0103050T0BBAAAA,Pariet_Tab E/C 10mg,15,MG
0103050T0BBABAB,Pariet_Tab E/C 20mg,15,MG
0104010H0AAABAB,Kaolin_Mix,40,ML
0104010H0AAACAC,Kaolin_Mix Paed BP 1980,40,ML
0104020H0AAAAAA,Co-Phenotrope_Tab 2.5mg/25mcg,8,
0104020H0BBAAAA,Lomotil_Tab 2.5mg/25mcg,8,
0104020H0BBAEAA,Lomotil_Tab 2.5mg/25mcg (Import),8,
0104020L0AAAAAA,Loperamide HCl_Cap 2mg,8,MG
0104020L0AAABAB,Loperamide HCl_Oral Soln 1mg/5ml S/F,8,MG
0104020L0AAADAD,Loperamide HCl_Tab 2mg,8,MG
0104020L0AAAFAF,Loperamide HCl_Liq Spec 1mg/5ml,8,MG
0104020L0AAALAL,Loperamide HCl_Oral Lyoph Tab 2mg S/F,8,MG
0104020L0AAAPAP,Loperamide HCl_Oral Susp 25mg/5ml,8,MG
0104020L0AAAQAQ,Loperamide HCl_Oral Soln 25mg/5ml,8,MG
0104020L0AAARAR,Loperamide HCl_Orodisper Tab 2mg S/F,8,MG
0104020L0BBAAAA,Imodium_Original Cap 2mg,8,MG
0104020L0BBABAB,Imodium_Oral Soln 1mg/5ml S/F,8,MG
0104020L0BBAGAL,Imodium Instants_Tab 2mg,8,MG
0104020L0BBAHAA,Imodium Classic_Cap 2mg,8,MG
0104020L0BBAIAA,Imodium LiquiCaps_Soft Cap 2mg,8,MG
0104020L0BBAJAA,Imodium_Soft Cap 2mg,8,MG
0104020L0BBAKAR,Imodium Instant Melts_Orodisper Tab 2mg,8,MG
0104020L0BBALAA,Imodium IBS Relief_Cap 2mg,8,MG
0104020L0BBAMAR,Imodium Instants_Orodisper Tab 2mg,8,MG
0104020L0BIAAAD,Norimode_Tab 2mg,8,MG
0104020L0BJAAAD,Normaloe_Tab 2mg,8,MG
0104020L0BMAAAA,Entrocalm_Cap 2mg,8,MG
0104020L0BSAAAA,Diarrhoea Relief_Cap 2mg,8,MG
0104020N0AAABAB,Kaolin & Morph_Mix,40,ML
0104020N0AAAEAE,Gppe Mix_Collis Browne's,N/A,N/A
0104020N0BEAAAE,Collis Browne's_Mix,N/A,N/A
0104020P0AAAAAA,Loperamide HCl/Simeticone_Tab 2mg/125mg,N/A,N/A
0104020P0BBAAAA,Imodium Plus_Capl,N/A,N/A
0104020P0BBACAA,Imodium Plus_Comfort Tab,N/A,N/A
0104030A0BBABAB,Hidrasec_Gran Sach Child 30mg,N/A,N/A
0105010B0AAAAAA,Mesalazine_Tab E/C 400mg,1600,MG
0105010B0AAABAB,Mesalazine_Suppos 500mg,1600,MG
0105010B0AAACAC,Mesalazine_Enem 1g In 100ml,1600,MG
0105010B0AAAGAG,Mesalazine_Suppos 250mg,1600,MG
0105010B0AAAHAH,Mesalazine_Tab E/C 250mg,1600,MG
0105010B0AAAIAI,Mesalazine_Tab 500mg M/R,1600,MG
0105010B0AAAJAJ,Mesalazine_Suppos 1g,1600,MG
0105010B0AAAKAK,Mesalazine_Foam Aero Enem 1g/D 14g,1600,MG
0105010B0AAALAL,Mesalazine_Enem 2g In 59ml,1600,MG
0105010B0AAANAN,Mesalazine_Gran Sach 1g M/R S/F,1600,MG
0105010B0AAAPAP,Mesalazine_Gran Sach 500mg M/R,1.6,Gramme
0105010B0AAARAR,Mesalazine_Tab G/R 1.2g M/R,1.6,Gramme
0105010B0AAASAS,Mesalazine_Tab E/C 800mg,1.6,Gramme
0105010B0AAATAT,Mesalazine_Gran Sach 2g M/R S/F,1.6,Gramme
0105010B0AAAUAU,Mesalazine_Gran Sach G/R 1.5g M/R S/F,1.6,Gramme
0105010B0AAAVAV,Mesalazine_Liq Spec 500mg/5ml,1.6,Gramme
0105010B0AAAWAW,Mesalazine_Tab G/R 500mg,1.6,Gramme
0105010B0AAAXAX,Mesalazine_Gran Sach G/R 1g M/R S/F,1.6,Gramme
0105010B0AAAYAY,Mesalazine_Tab 1g M/R,1.6,Gramme
0105010B0AAAZAZ,Mesalazine_Gran Sach G/R 3g M/R S/F,1.6,Gramme
0105010B0AABABA,Mesalazine_Gran Sach 4g M/R S/F,1.6,Gramme
0105010B0BBAAAA,Asacol_MR Tab E/C 400mg,1600,MG
0105010B0BBACAB,Asacol_Suppos 500mg,1600,MG
0105010B0BBADAG,Asacol_Suppos 250mg,1600,MG
0105010B0BBAEAK,Asacol_Foam Aero Enem 1g/D 14g,1600,MG
0105010B0BBAFAS,Asacol_MR Tab E/C 800mg,1.6,Gramme
0105010B0BCAAAC,Pentasa_Enem 1g In 100ml,1600,MG
0105010B0BCACAI,Pentasa SR_Tab 500mg,1600,MG
0105010B0BCADAJ,Pentasa_Suppos 1g,1600,MG
