ccgcode,indicator_group,Register_description,disease_register_size,ccg_listsize,prevalence
00D,EP,Epilepsy,2369,287987,0.822606576
00D,HF,Heart Failure,2906,287987,1.0090733262
00D,HF,Heart Failure due to LVD,1220,287987,0.4236302333
00D,HYP,Hypertension,48794,287987,16.943125905
00D,LD,Learning  Disabilities,1649,287987,0.5725952908
00D,MH,Mental Health,2680,287987,0.9305975617
00D,OB,Obesity,34671,287987,12.039085098
00D,OST,Osteoporosis,519,287987,0.1802164681
00D,PAD,Peripheral Atrial Disease,3164,287987,1.0986607034
00D,PC,Palliative Care,1406,287987,0.488216482
00D,RA,Rheumatoid Arthritis,2107,287987,0.7316302472
00D,SMOK,Smoking Indicators,81667,287987,28.357877265
00D,STIA,Stroke,6643,287987,2.3067013442
00D,THY,Thyroid,11377,287987,3.9505255446
00F,AF,Atrial Fibrillation,3645,205375,1.7748021911
00F,AST,Asthma,13637,205375,6.6400486914
00F,CAN,Cancer,4662,205375,2.2699939136
00F,CHD,Coronary Heart Disease,8728,205375,4.249786975
00F,CKD,Chronic Kidney Disease,9439,205375,4.595982958
00F,COPD,Chronic Obstructive Pulmonary Disease,5559,205375,2.7067559343
00F,CVDPP,Cardiovascular Disease - Primary Prevention,6312,205375,3.0734023128
00F,DEM,Dementia,1653,205375,0.8048691418
00F,DEP,Depression,12581,205375,6.1258673159
00F,DM,Diabetes,10934,205375,5.3239196592
00F,EP,Epilepsy,1481,205375,0.7211199026
00F,HF,Heart Failure,1523,205375,0.7415702982
00F,HF,Heart Failure due to LVD,1105,205375,0.5380401704
00F,HYP,Hypertension,33484,205375,16.303834449
00F,LD,Learning  Disabilities,969,205375,0.4718198418
00F,MH,Mental Health,1956,205375,0.9524041388
00F,OB,Obesity,21871,205375,10.649300061
00F,OST,Osteoporosis,320,205375,0.155812538
00F,PAD,Peripheral Atrial Disease,2207,205375,1.0746195983
00F,PC,Palliative Care,283,205375,0.1377967133
00F,RA,Rheumatoid Arthritis,2084,205375,1.014729154
00F,SMOK,Smoking Indicators,55388,205375,26.969202678
00F,STIA,Stroke,4408,205375,2.1463177115
00F,THY,Thyroid,7725,205375,3.7614120511
00G,AF,Atrial Fibrillation,1858,161066,1.1535643773
00G,AST,Asthma,8505,161066,5.2804440416
00G,CAN,Cancer,2883,161066,1.7899494617
00G,CHD,Coronary Heart Disease,4493,161066,2.7895396918
00G,CKD,Chronic Kidney Disease,6046,161066,3.7537407026
00G,COPD,Chronic Obstructive Pulmonary Disease,2753,161066,1.7092372071
00G,CVDPP,Cardiovascular Disease - Primary Prevention,3556,161066,2.2077905952
00G,DEM,Dementia,824,161066,0.5115915215
00G,DEP,Depression,7761,161066,4.8185215998
00G,DM,Diabetes,6263,161066,3.8884680814
00G,EP,Epilepsy,965,161066,0.5991332746
00G,HF,Heart Failure,1023,161066,0.6351433574
00G,HF,Heart Failure due to LVD,247,161066,0.1533532837
00G,HYP,Hypertension,17860,161066,11.088622056
00G,LD,Learning  Disabilities,851,161066,0.5283548359
00G,MH,Mental Health,1555,161066,0.9654427378
00G,OB,Obesity,12269,161066,7.6173742441
00G,OST,Osteoporosis,224,161066,0.1390734233
00G,PAD,Peripheral Atrial Disease,1316,161066,0.817056362
00G,PC,Palliative Care,420,161066,0.2607626687
00G,RA,Rheumatoid Arthritis,687,161066,0.4265332224
00G,SMOK,Smoking Indicators,31642,161066,19.645362771
00G,STIA,Stroke,2570,161066,1.5956191872
00G,THY,Thyroid,4343,161066,2.6964101673
00H,AF,Atrial Fibrillation,1940,134431,1.4431195186
00H,AST,Asthma,8246,134431,6.1340018299
00H,CAN,Cancer,2555,134431,1.9006032835
00H,CHD,Coronary Heart Disease,5104,134431,3.7967433107
00H,CKD,Chronic Kidney Disease,5924,134431,4.4067216639
00H,COPD,Chronic Obstructive Pulmonary Disease,3386,134431,2.5187642731
00H,CVDPP,Cardiovascular Disease - Primary Prevention,3167,134431,2.3558554203
00H,DEM,Dementia,849,134431,0.6315507584
00H,DEP,Depression,6285,134431,4.6752609145
00H,DM,Diabetes,7435,134431,5.5307183611
00H,EP,Epilepsy,1017,134431,0.7565219332
00H,HF,Heart Failure,1126,134431,0.8376044216
00H,HF,Heart Failure due to LVD,397,134431,0.2953187881
00H,HYP,Hypertension,18341,134431,13.643430459
00H,LD,Learning  Disabilities,901,134431,0.6702323125
00H,MH,Mental Health,1303,134431,0.9692704808
00H,OB,Obesity,13296,134431,9.8905758344
00H,OST,Osteoporosis,209,134431,0.1554700925
00H,PAD,Peripheral Atrial Disease,1455,134431,1.0823396389
00H,PC,Palliative Care,391,134431,0.2908555318
00H,RA,Rheumatoid Arthritis,786,134431,0.5846865678
00H,SMOK,Smoking Indicators,32438,134431,24.129851002
00H,STIA,Stroke,2858,134431,2.1259977237
00H,THY,Thyroid,4624,134431,3.4396828113
00J,AF,Atrial Fibrillation,4046,251850,1.6065118126
00J,AST,Asthma,15911,251850,6.3176493945
00J,CAN,Cancer,5524,251850,2.1933690689
00J,CHD,Coronary Heart Disease,11316,251850,4.4931506849
00J,CKD,Chronic Kidney Disease,8564,251850,3.4004367679
00J,COPD,Chronic Obstructive Pulmonary Disease,6007,251850,2.3851498908
00J,CVDPP,Cardiovascular Disease - Primary Prevention,6842,251850,2.7166964463
00J,DEM,Dementia,1662,251850,0.659916617
00J,DEP,Depression,15723,251850,6.2430017868
00J,DM,Diabetes,13612,251850,5.4048044471
00J,EP,Epilepsy,1624,251850,0.6448282708
00J,HF,Heart Failure,2108,251850,0.8370061545
00J,HF,Heart Failure due to LVD,704,251850,0.2795314671
00J,HYP,Hypertension,38790,251850,15.402025015
00J,LD,Learning  Disabilities,1005,251850,0.3990470518
00J,MH,Mental Health,2053,251850,0.8151677586
00J,OB,Obesity,26497,251850,10.520945007
00J,OST,Osteoporosis,447,251850,0.1774865992
00J,PAD,Peripheral Atrial Disease,2124,251850,0.8433591423
00J,PC,Palliative Care,762,251850,0.3025610482
00J,RA,Rheumatoid Arthritis,1578,251850,0.6265634306
00J,SMOK,Smoking Indicators,65253,251850,25.909469923
00J,STIA,Stroke,5339,251850,2.1199126464
00J,THY,Thyroid,8916,251850,3.5402025015
00K,AF,Atrial Fibrillation,5333,292192,1.8251697514
00K,AST,Asthma,18341,292192,6.2770370168
00K,CAN,Cancer,5781,292192,1.9784935933
00K,CHD,Coronary Heart Disease,12182,292192,4.1691764319
00K,CKD,Chronic Kidney Disease,8829,292192,3.021643303
00K,COPD,Chronic Obstructive Pulmonary Disease,7705,292192,2.6369647355
00K,CVDPP,Cardiovascular Disease - Primary Prevention,7955,292192,2.7225249151
00K,DEM,Dementia,2175,292192,0.7443735626
00K,DEP,Depression,18231,292192,6.2393905377
00K,DM,Diabetes,14083,292192,4.8197760377
00K,EP,Epilepsy,2206,292192,0.7549830249
00K,HF,Heart Failure,2510,292192,0.8590242033
00K,HF,Heart Failure due to LVD,730,292192,0.2498357245
00K,HYP,Hypertension,44124,292192,15.10102946
00K,LD,Learning  Disabilities,1189,292192,0.4069242142
00K,MH,Mental Health,2265,292192,0.7751752272
00K,OB,Obesity,28217,292192,9.657006352
00K,OST,Osteoporosis,372,292192,0.1273135473
00K,PAD,Peripheral Atrial Disease,2396,292192,0.8200087614
00K,PC,Palliative Care,1176,292192,0.4024750849
00K,RA,Rheumatoid Arthritis,1881,292192,0.6437547914
00K,SMOK,Smoking Indicators,74657,292192,25.550665316
00K,STIA,Stroke,5890,292192,2.0157978316
00K,THY,Thyroid,10963,292192,3.7519849962
00L,AF,Atrial Fibrillation,6454,321140,2.0097153889
00L,AST,Asthma,21988,321140,6.8468580681
00L,CAN,Cancer,8621,321140,2.6844989724
00L,CHD,Coronary Heart Disease,15522,321140,4.8334059912
00L,CKD,Chronic Kidney Disease,15735,321140,4.899732204
00L,COPD,Chronic Obstructive Pulmonary Disease,8056,321140,2.5085632434
00L,CVDPP,Cardiovascular Disease - Primary Prevention,10396,321140,3.237217413
00L,DEM,Dementia,2428,321140,0.7560565485
00L,DEP,Depression,20072,321140,6.250233543
00L,DM,Diabetes,18864,321140,5.8740736128
00L,EP,Epilepsy,2341,321140,0.7289655602
00L,HF,Heart Failure,3130,321140,0.9746527994
00L,HF,Heart Failure due to LVD,1367,321140,0.4256710469
00L,HYP,Hypertension,55414,321140,17.255402628
00L,LD,Learning  Disabilities,1659,321140,0.5165971228
00L,MH,Mental Health,2714,321140,0.8451142804
00L,OB,Obesity,34802,321140,10.837018123
00L,OST,Osteoporosis,749,321140,0.2332316124
00L,PAD,Peripheral Atrial Disease,3032,321140,0.9441365137
00L,PC,Palliative Care,1796,321140,0.5592576446
00L,RA,Rheumatoid Arthritis,2987,321140,0.9301239335
00L,SMOK,Smoking Indicators,92355,321140,28.758485396
00L,STIA,Stroke,7784,321140,2.423864981
00L,THY,Thyroid,12848,321140,4.0007473376
00M,AF,Atrial Fibrillation,4769,291628,1.6353025087
00M,AST,Asthma,17530,291628,6.0110826121
00M,CAN,Cancer,6150,291628,2.108851002
00M,CHD,Coronary Heart Disease,12511,291628,4.2900544529
00M,CKD,Chronic Kidney Disease,8311,291628,2.8498635248
00M,COPD,Chronic Obstructive Pulmonary Disease,8124,291628,2.7857407382
00M,CVDPP,Cardiovascular Disease - Primary Prevention,8406,291628,2.8824392719
00M,DEM,Dementia,2203,291628,0.7554144321
00M,DEP,Depression,15507,291628,5.3173906484
00M,DM,Diabetes,14860,291628,5.0955326649
00M,EP,Epilepsy,2431,291628,0.8335962253
00M,HF,Heart Failure,2397,291628,0.8219375369
00M,HF,Heart Failure due to LVD,905,291628,0.3103268548
00M,HYP,Hypertension,43376,291628,14.873743262
00M,LD,Learning  Disabilities,1504,291628,0.5157255133
00M,MH,Mental Health,2685,291628,0.9206934862
00M,OB,Obesity,28776,291628,9.8673652736
00M,OST,Osteoporosis,467,291628,0.1601355151
00M,PAD,Peripheral Atrial Disease,2564,291628,0.8792022714
00M,PC,Palliative Care,1364,291628,0.4677191491
00M,RA,Rheumatoid Arthritis,1709,291628,0.5860205467
00M,SMOK,Smoking Indicators,74723,291628,25.622711125
00M,STIA,Stroke,6015,291628,2.0625591507
00M,THY,Thyroid,13451,291628,4.6123828988
00N,AF,Atrial Fibrillation,2782,154613,1.7993312335
00N,AST,Asthma,9017,154613,5.8319804932
00N,CAN,Cancer,3690,154613,2.3866039725
00N,CHD,Coronary Heart Disease,7365,154613,4.7635063028
00N,CKD,Chronic Kidney Disease,2929,154613,1.8944073267
00N,COPD,Chronic Obstructive Pulmonary Disease,5604,154613,3.6245335127
00N,CVDPP,Cardiovascular Disease - Primary Prevention,4843,154613,3.1323368669
00N,DEM,Dementia,1433,154613,0.9268302148
00N,DEP,Depression,10033,154613,6.4891050558
00N,DM,Diabetes,8784,154613,5.6812816516
00N,EP,Epilepsy,1161,154613,0.7509071035
00N,HF,Heart Failure,1831,154613,1.1842471202
00N,HF,Heart Failure due to LVD,1274,154613,0.8239928078
00N,HYP,Hypertension,24875,154613,16.08855659
00N,LD,Learning  Disabilities,744,154613,0.4812014514
00N,MH,Mental Health,1344,154613,0.869267138
00N,OB,Obesity,17146,154613,11.08962377
00N,OST,Osteoporosis,256,154613,0.1655746929
00N,PAD,Peripheral Atrial Disease,1574,154613,1.0180256511
00N,PC,Palliative Care,418,154613,0.2703524283
00N,RA,Rheumatoid Arthritis,1150,154613,0.743792566
00N,SMOK,Smoking Indicators,41202,154613,26.648470698
00N,STIA,Stroke,3448,154613,2.2300841456
00N,THY,Thyroid,7581,154613,4.90320995
00P,AF,Atrial Fibrillation,5012,283458,1.7681631847
00P,AST,Asthma,16969,283458,5.9864247966
00P,CAN,Cancer,6411,283458,2.2617107296
00P,CHD,Coronary Heart Disease,14060,283458,4.9601704662
00P,CKD,Chronic Kidney Disease,9187,283458,3.2410445286
00P,COPD,Chronic Obstructive Pulmonary Disease,9146,283458,3.2265803047
00P,CVDPP,Cardiovascular Disease - Primary Prevention,9270,283458,3.2703257625
00P,DEM,Dementia,2130,283458,0.7514340749
00P,DEP,Depression,16083,283458,5.6738564443
00P,DM,Diabetes,14993,283458,5.2893197581
00P,EP,Epilepsy,2283,283458,0.8054103253
00P,HF,Heart Failure,2792,283458,0.9849783742
00P,HF,Heart Failure due to LVD,1729,283458,0.6099669087
00P,HYP,Hypertension,47120,283458,16.623273995
00P,LD,Learning  Disabilities,1413,283458,0.4984865483
00P,MH,Mental Health,2321,283458,0.8188161915
00P,OB,Obesity,29942,283458,10.563116934
00P,OST,Osteoporosis,424,283458,0.1495812431
00P,PAD,Peripheral Atrial Disease,3198,283458,1.1282094702
00P,PC,Palliative Care,991,283458,0.3496108771
00P,RA,Rheumatoid Arthritis,2042,283458,0.7203889112
00P,SMOK,Smoking Indicators,76608,283458,27.026226108
00P,STIA,Stroke,6164,283458,2.1745725998
00P,THY,Thyroid,13075,283458,4.6126763048
00Q,AF,Atrial Fibrillation,2049,169322,1.2101203624
00Q,AST,Asthma,12213,169322,7.2128843269
00Q,CAN,Cancer,2870,169322,1.6949953343
00Q,CHD,Coronary Heart Disease,6415,169322,3.7886393971
00Q,CKD,Chronic Kidney Disease,4761,169322,2.8118023647
00Q,COPD,Chronic Obstructive Pulmonary Disease,3679,169322,2.1727832178
00Q,CVDPP,Cardiovascular Disease - Primary Prevention,4402,169322,2.5997803003
00Q,DEM,Dementia,851,169322,0.5025926932
00Q,DEP,Depression,9689,169322,5.7222333778
00Q,DM,Diabetes,9822,169322,5.8007819421
00Q,EP,Epilepsy,1109,169322,0.6549650961
00Q,HF,Heart Failure,1364,169322,0.8055657268
00Q,HF,Heart Failure due to LVD,313,169322,0.1848548919
00Q,HYP,Hypertension,20902,169322,12.344526996
00Q,LD,Learning  Disabilities,717,169322,0.4234535382
00Q,MH,Mental Health,1921,169322,1.1345247517
00Q,OB,Obesity,13308,169322,7.8595811531
00Q,OST,Osteoporosis,208,169322,0.1228428674
00Q,PAD,Peripheral Atrial Disease,1473,169322,0.8699401141
00Q,PC,Palliative Care,309,169322,0.182492529
00Q,RA,Rheumatoid Arthritis,938,169322,0.5539740849
00Q,SMOK,Smoking Indicators,40377,169322,23.84628105
00Q,STIA,Stroke,2857,169322,1.6873176551
00Q,THY,Thyroid,4561,169322,2.693684223
00R,AF,Atrial Fibrillation,3413,172202,1.9819746577
00R,AST,Asthma,12007,172202,6.9726251728
00R,CAN,Cancer,4280,172202,2.4854531306
00R,CHD,Coronary Heart Disease,8149,172202,4.7322330751
00R,CKD,Chronic Kidney Disease,11309,172202,6.5672872557
00R,COPD,Chronic Obstructive Pulmonary Disease,5784,172202,3.3588460064
00R,CVDPP,Cardiovascular Disease - Primary Prevention,7106,172202,4.1265490529
00R,DEM,Dementia,1313,172202,0.7624766263
00R,DEP,Depression,14945,172202,8.67876099
00R,DM,Diabetes,10220,172202,5.9348904194
00R,EP,Epilepsy,1582,172202,0.918688517
00R,HF,Heart Failure,2178,172202,1.2647936725
00R,HF,Heart Failure due to LVD,718,172202,0.4169521841
00R,HYP,Hypertension,30099,172202,17.47889107
00R,LD,Learning  Disabilities,763,172202,0.4430842847
00R,MH,Mental Health,2307,172202,1.3397056945
00R,OB,Obesity,18785,172202,10.908700247
00R,OST,Osteoporosis,323,172202,0.1875704115
00R,PAD,Peripheral Atrial Disease,1986,172202,1.1532967097
00R,PC,Palliative Care,630,172202,0.3658494094
00R,RA,Rheumatoid Arthritis,1181,172202,0.6858224643
00R,SMOK,Smoking Indicators,50516,172202,29.335315502
00R,STIA,Stroke,3838,172202,2.2287778307
00R,THY,Thyroid,5907,172202,3.4302737483
00T,AF,Atrial Fibrillation,4109,297379,1.381738455
00T,AST,Asthma,19484,297379,6.5519085073
00T,CAN,Cancer,5746,297379,1.9322144469
00T,CHD,Coronary Heart Disease,10231,297379,3.4403908817
00T,CKD,Chronic Kidney Disease,12769,297379,4.2938472454
00T,COPD,Chronic Obstructive Pulmonary Disease,6644,297379,2.2341860051
00T,CVDPP,Cardiovascular Disease - Primary Prevention,7132,297379,2.3982863618
00T,DEM,Dementia,2070,297379,0.6960814314
00T,DEP,Depression,17602,297379,5.9190460658
00T,DM,Diabetes,17894,297379,6.0172372629
00T,EP,Epilepsy,2050,297379,0.689356007
00T,HF,Heart Failure,2273,297379,0.7643444897
00T,HF,Heart Failure due to LVD,705,297379,0.2370712122
00T,HYP,Hypertension,42088,297379,14.15298323
00T,LD,Learning  Disabilities,1044,297379,0.3510671567
00T,MH,Mental Health,2624,297379,0.8823756889
00T,OB,Obesity,25428,297379,8.5507046563
00T,OST,Osteoporosis,423,297379,0.1422427273
00T,PAD,Peripheral Atrial Disease,1805,297379,0.6069695574
00T,PC,Palliative Care,759,297379,0.2552298582
00T,RA,Rheumatoid Arthritis,1715,297379,0.5767051473
00T,SMOK,Smoking Indicators,74059,297379,24.903910498
00T,STIA,Stroke,5176,297379,1.7405398498
00T,THY,Thyroid,10224,297379,3.4380369831
00V,AF,Atrial Fibrillation,2815,196806,1.4303425709
00V,AST,Asthma,12618,196806,6.4113898966
00V,CAN,Cancer,3816,196806,1.9389652754
00V,CHD,Coronary Heart Disease,7077,196806,3.5959269534
00V,CKD,Chronic Kidney Disease,6877,196806,3.4943040354
00V,COPD,Chronic Obstructive Pulmonary Disease,4046,196806,2.0558316311
00V,CVDPP,Cardiovascular Disease - Primary Prevention,4706,196806,2.3911872606
00V,DEM,Dementia,1344,196806,0.682906009
00V,DEP,Depression,7467,196806,3.7940916435
00V,DM,Diabetes,10144,196806,5.154314401
00V,EP,Epilepsy,1456,196806,0.739814843
00V,HF,Heart Failure,1704,196806,0.8658272614
00V,HF,Heart Failure due to LVD,758,196806,0.3851508592
00V,HYP,Hypertension,26558,196806,13.494507281
00V,LD,Learning  Disabilities,855,196806,0.4344379745
00V,MH,Mental Health,1999,196806,1.0157210654
00V,OB,Obesity,16957,196806,8.6160991027
00V,OST,Osteoporosis,184,196806,0.0934930846
00V,PAD,Peripheral Atrial Disease,1495,196806,0.7596313121
00V,PC,Palliative Care,315,196806,0.1600560959
00V,RA,Rheumatoid Arthritis,1077,196806,0.5472394134
00V,SMOK,Smoking Indicators,48062,196806,24.421003425
00V,STIA,Stroke,3672,196806,1.8657967745
00V,THY,Thyroid,6117,196806,3.108136947
00W,AF,Atrial Fibrillation,1502,213508,0.7034865204
00W,AST,Asthma,11454,213508,5.3646701763
00W,CAN,Cancer,2327,213508,1.0898889035
00W,CHD,Coronary Heart Disease,4157,213508,1.946999644
00W,CKD,Chronic Kidney Disease,3745,213508,1.7540326358
00W,COPD,Chronic Obstructive Pulmonary Disease,2958,213508,1.3854281807
00W,CVDPP,Cardiovascular Disease - Primary Prevention,4653,213508,2.1793094404
00W,DEM,Dementia,620,213508,0.2903872454
00W,DEP,Depression,10011,213508,4.6888172809
00W,DM,Diabetes,9533,213508,4.4649380819
00W,EP,Epilepsy,1049,213508,0.4913164846
00W,HF,Heart Failure,957,213508,0.4482267643
00W,HF,Heart Failure due to LVD,345,213508,0.1615864511
00W,HYP,Hypertension,18573,213508,8.6989714671
00W,LD,Learning  Disabilities,629,213508,0.2946025442
00W,MH,Mental Health,2437,213508,1.1414092212
00W,OB,Obesity,12037,213508,5.6377278603
00W,OST,Osteoporosis,141,213508,0.06603968
00W,PAD,Peripheral Atrial Disease,1151,213508,0.5390898702
00W,PC,Palliative Care,528,213508,0.2472975252
00W,RA,Rheumatoid Arthritis,662,213508,0.3100586395
00W,SMOK,Smoking Indicators,36558,213508,17.122543418
00W,STIA,Stroke,1989,213508,0.931581018
00W,THY,Thyroid,3437,213508,1.6097757461
00X,AF,Atrial Fibrillation,3033,176023,1.7230702806
00X,AST,Asthma,11402,176023,6.4775625913
00X,CAN,Cancer,4176,176023,2.3724172409
00X,CHD,Coronary Heart Disease,7207,176023,4.0943513064
00X,CKD,Chronic Kidney Disease,7696,176023,4.3721559114
00X,COPD,Chronic Obstructive Pulmonary Disease,3863,176023,2.1945995694
00X,CVDPP,Cardiovascular Disease - Primary Prevention,5713,176023,3.2455985865
00X,DEM,Dementia,1172,176023,0.6658220801
00X,DEP,Depression,11447,176023,6.5031274322
00X,DM,Diabetes,9475,176023,5.3828192907
00X,EP,Epilepsy,1212,176023,0.6885463831
00X,HF,Heart Failure,1653,176023,0.9390818245
00X,HF,Heart Failure due to LVD,387,176023,0.2198576322
00X,HYP,Hypertension,25829,176023,14.673650602
00X,LD,Learning  Disabilities,755,176023,0.4289212205
00X,MH,Mental Health,1342,176023,0.7624003681
00X,OB,Obesity,14028,176023,7.9694130881
00X,OST,Osteoporosis,188,176023,0.1068042244
00X,PAD,Peripheral Atrial Disease,1564,176023,0.8885202502
00X,PC,Palliative Care,331,176023,0.1880436079
00X,RA,Rheumatoid Arthritis,1233,176023,0.7004766423
00X,SMOK,Smoking Indicators,45078,176023,25.609153349
00X,STIA,Stroke,3418,176023,1.9417916977
00X,THY,Thyroid,7094,176023,4.0301551502
00Y,AF,Atrial Fibrillation,2779,242985,1.1436919974
00Y,AST,Asthma,15263,242985,6.2814577032
00Y,CAN,Cancer,4593,242985,1.8902401383
00Y,CHD,Coronary Heart Disease,8085,242985,3.3273658868
00Y,CKD,Chronic Kidney Disease,6512,242985,2.6800008231
00Y,COPD,Chronic Obstructive Pulmonary Disease,5440,242985,2.2388213264
00Y,CVDPP,Cardiovascular Disease - Primary Prevention,7228,242985,2.9746692183
00Y,DEM,Dementia,1544,242985,0.6354301706
00Y,DEP,Depression,13336,242985,5.488404634
00Y,DM,Diabetes,13194,242985,5.4299648126
00Y,EP,Epilepsy,1849,242985,0.7609523222
00Y,HF,Heart Failure,1761,242985,0.7247360948
00Y,HF,Heart Failure due to LVD,617,242985,0.2539251394
00Y,HYP,Hypertension,32829,242985,13.510710538
00Y,LD,Learning  Disabilities,964,242985,0.3967323086
00Y,MH,Mental Health,2140,242985,0.8807128012
00Y,OB,Obesity,20055,242985,8.253595901
00Y,OST,Osteoporosis,359,242985,0.1477457456
00Y,PAD,Peripheral Atrial Disease,1972,242985,0.8115727308
00Y,PC,Palliative Care,589,242985,0.2424017943
00Y,RA,Rheumatoid Arthritis,1509,242985,0.6210259893
00Y,SMOK,Smoking Indicators,58288,242985,23.988312036
00Y,STIA,Stroke,4245,242985,1.7470214211
00Y,THY,Thyroid,6888,242985,2.8347428854
01A,AF,Atrial Fibrillation,5614,371608,1.5107317388
01A,AST,Asthma,26044,371608,7.0084605283
01A,CAN,Cancer,8067,371608,2.1708359346
01A,CHD,Coronary Heart Disease,15347,371608,4.129889561
01A,CKD,Chronic Kidney Disease,10601,371608,2.8527372931
01A,COPD,Chronic Obstructive Pulmonary Disease,8994,371608,2.4202923511
01A,CVDPP,Cardiovascular Disease - Primary Prevention,10823,371608,2.9124776646
01A,DEM,Dementia,2323,371608,0.6251210953
01A,DEP,Depression,20039,371608,5.3925103873
01A,DM,Diabetes,19491,371608,5.2450431638
01A,EP,Epilepsy,2651,371608,0.7133861488
01A,HF,Heart Failure,3257,371608,0.8764612172
01A,HF,Heart Failure due to LVD,447,371608,0.1202880455
01A,HYP,Hypertension,51189,371608,13.774999462
01A,LD,Learning  Disabilities,1489,371608,0.4006910508
01A,MH,Mental Health,3681,371608,0.9905599449
01A,OB,Obesity,29357,371608,7.8999913888
01A,OST,Osteoporosis,546,371608,0.146929022
01A,PAD,Peripheral Atrial Disease,3820,371608,1.0279649523
01A,PC,Palliative Care,933,371608,0.2510710211
01A,RA,Rheumatoid Arthritis,2038,371608,0.5484273751
01A,SMOK,Smoking Indicators,93761,371608,25.231157564
01A,STIA,Stroke,7297,371608,1.9636283395
01A,THY,Thyroid,11025,371608,2.9668360208
01C,AF,Atrial Fibrillation,4379,204444,2.1419068302
01C,AST,Asthma,12126,204444,5.9312085461
01C,CAN,Cancer,4943,204444,2.4177769952
01C,CHD,Coronary Heart Disease,7306,204444,3.5735947252
01C,CKD,Chronic Kidney Disease,7419,204444,3.6288665845
01C,COPD,Chronic Obstructive Pulmonary Disease,3206,204444,1.5681555829
01C,CVDPP,Cardiovascular Disease - Primary Prevention,6092,204444,2.9797890865
01C,DEM,Dementia,1774,204444,0.8677192777
01C,DEP,Depression,9975,204444,4.8790866937
01C,DM,Diabetes,9834,204444,4.8101191524
01C,EP,Epilepsy,1231,204444,0.6021208742
01C,HF,Heart Failure,1599,204444,0.7821212655
01C,HF,Heart Failure due to LVD,430,204444,0.2103265442
01C,HYP,Hypertension,30211,204444,14.777151689
01C,LD,Learning  Disabilities,592,204444,0.2895658469
01C,MH,Mental Health,1602,204444,0.78358866
01C,OB,Obesity,12704,204444,6.213926552
01C,OST,Osteoporosis,358,204444,0.1751090763
01C,PAD,Peripheral Atrial Disease,1506,204444,0.7366320362
01C,PC,Palliative Care,540,204444,0.264131009
01C,RA,Rheumatoid Arthritis,1167,204444,0.5708164583
01C,SMOK,Smoking Indicators,50813,204444,24.854238814
01C,STIA,Stroke,4273,204444,2.0900588914
01C,THY,Thyroid,6647,204444,3.251257068
01D,AF,Atrial Fibrillation,2905,223918,1.2973499227
01D,AST,Asthma,15319,223918,6.8413437062
01D,CAN,Cancer,4160,223918,1.857822953
01D,CHD,Coronary Heart Disease,8740,223918,3.9032145696
01D,CKD,Chronic Kidney Disease,7561,223918,3.3766825356
01D,COPD,Chronic Obstructive Pulmonary Disease,5154,223918,2.3017354567
01D,CVDPP,Cardiovascular Disease - Primary Prevention,7026,223918,3.1377557856
01D,DEM,Dementia,1218,223918,0.5439491242
01D,DEP,Depression,15642,223918,6.9855929403
01D,DM,Diabetes,12640,223918,5.6449235881
01D,EP,Epilepsy,1797,223918,0.8025259247
01D,HF,Heart Failure,1889,223918,0.8436123938
01D,HF,Heart Failure due to LVD,579,223918,0.2585768004
01D,HYP,Hypertension,31218,223918,13.941710805
